Thesis #,Author,Year,Title,Academic department,City,University,No. of pages,Thesis type,Label,Keywords,
,Bird survey,,,,,,,,,,
,Bird studies,,,,,,,,,,
,Species composition,,,,,,,,,,
,Large waders,,,,,,,,,,
,Small waders,,,,,,,,,,
,Aerial foragers,,,,,,,,,,
,Conservation status,,,,,,,,,,
,Species richness,,,,,,,,,,
,Species abundance,,,,,,,,,,
,Bird abundance,,,,,,,,,,
,Seasonal changes,,,,,,,,,,
,Species density,,,,,,,,,,
,Habitat classification,,,,,,,,,,
,Population fluctuation,,,,,,,,,,
,Habitat preference,,,,,,,,,,
,Activity pattern,,,,,,,,,,
,Behavioural context,,,,,,,,,,
,Foraging behaviour,,,,,,,,,,
,Flock size,,,,,,,,,,
,Flocking behaviour,,,,,,,,,,
,Preening,,,,,,,,,,
,Bird conservation,,,,,,,,,,
,Conservation planning,,,,,,,,,,
TD-00551,"Nithiyanandam, G. T.",2011,"Studies on selected birds of agro-ecosystem in and around Mayiladuthurai, Nagapattinam district, Southern India",A.V.C. College,Mayiladuthurai,"Bharathidasan University, Thiruchirapalli",182,Ph.D.,TD-00551,Bird studies,
,Agricultural lands,,,,,,,,,,
,Bird Population,,,,,,,,,,
,Population estimation,,,,,,,,,,
,Foraging behaviour,,,,,,,,,,
,Food habits,,,,,,,,,,
,Activity pattern,,,,,,,,,,
,Species richness,,,,,,,,,,
,Foraging guilds,,,,,,,,,,
,Species diversity,,,,,,,,,,
,Bird diversity,,,,,,,,,,
,Paddy fields,,,,,,,,,,
,Food availability,,,,,,,,,,
,Diet analysis,,,,,,,,,,
,Pellet analysis,,,,,,,,,,
,Insectivores,,,,,,,,,,
,Black Drongo,,,,,,,,,,
,Indian Roller,,,,,,,,,,
,Riverbanks,,,,,,,,,,
,Nesting behaviour,,,,,,,,,,
,Nest location,,,,,,,,,,
,Fledging success,,,,,,,,,,
,Hatching,,,,,,,,,,
,Nestling growth,,,,,,,,,,
,Egg colour,,,,,,,,,,
,Egg size,,,,,,,,,,
,Clutch size,,,,,,,,,,
,Agro-ecosystem,,,,,,,,,,
TD-00552,"Kannan, V.",2015,"Ecology of the Spot-billed Pelican Pelecanus philippensis (Gmelin, 1789) in Pulicat lake bird sanctuary, Andhra Pradesh, Southern India",A.V.C. College,Mayiladuthurai,"Bharathidasan University, Thiruchirapalli",162,Ph.D.,TD-00552,Pelecanus philippensis,
,Population status,,,,,,,,,,
,Population density,,,,,,,,,,
,Freshwater ecosystem,,,,,,,,,,
,Tidal flats,,,,,,,,,,
,Prey availability,,,,,,,,,,
,Activity pattern,,,,,,,,,,
,Focal species approach,,,,,,,,,,
,Activity pattern,,,,,,,,,,
,Mudflats,,,,,,,,,,
,Foraging behaviour,,,,,,,,,,
,Prey availability,,,,,,,,,,
TD-00553,"Saravanan, K.",2001,Evaluation of toxicity and field efficacy of the second generation anticoagulant rodenticide Difethialone against selected rodent species and its secondary toxicity to the Barn-Owl,A.V.C. College,Mayiladuthurai,"Bharathidasan University, Thiruchirapalli",161,Ph.D.,TD-00553,Difethialone,
,Rodenticides,,,,,,,,,,
,Rodent control,,,,,,,,,,
,Barn owls,,,,,,,,,,
,Toxicity,,,,,,,,,,
,Rodent pests,,,,,,,,,,
,Tyto alba,,,,,,,,,,
TD-00554,"Chaudhuri, N.",2019,"A study on the habitat suitability of three focal species in D'ering wildlife sanctuary, Arunachal Pradesh",Ecology and Environmental Sciences,Pondicherry,Pondicherry University,32,M.Sc.,TD-00554,Species composition,
,Bird composition,,,,,,,,,,
,Grasslands,,,,,,,,,,
,Bird survey,,,,,,,,,,
,Bird studies,,,,,,,,,,
,Habitat structure,,,,,,,,,,
,Species occupancy,,,,,,,,,,
,Black-breasted Parrotbill,,,,,,,,,,
,Jerdon's Babbler,,,,,,,,,,
,Indian Grass-babbler,,,,,,,,,,
,Presence-only models,,,,,,,,,,
,Anthropogenic pressure,,,,,,,,,,
,Human disturbance,,,,,,,,,,
,Grazing,,,,,,,,,,
,Mining,,,,,,,,,,
,Habitat conservation,,,,,,,,,,
,Habitat management,,,,,,,,,,
,Habitat suitability,,,,,,,,,,
TD-00555,"Anand, V. A.",2019,"A comparative study on the nest site selection and cavity availability of the Forest Owlet Heteroglaux blewetti and other sympatric Owls in Khandwa district, Madhya Pradesh",Ecology and Environmental Sciences,Pondicherry,Pondicherry University,39,M.Sc.,TD-00555,Heteroglaux blewetti,
,Nest site selection,,,,,,,,,,
,Nest fidelity,,,,,,,,,,
,Sympatry,,,,,,,,,,
,Habitat preference,,,,,,,,,,
,Cavity nesting,,,,,,,,,,
,Timber logging,,,,,,,,,,
,Habitat management,,,,,,,,,,
,Forest management,,,,,,,,,,
,Illegal tree felling,,,,,,,,,,
,Conservation planning,,,,,,,,,,
TD-00556,"Roshna, K.",2019,"An assessment of nest sites of four large Owls in east Kalibhit reserve forest, Madhya Pradesh, India",Ecology and Environmental Sciences,Pondicherry,Pondicherry University,31,M.Sc.,TD-00556,Owls,
,Nest site selection,,,,,,,,,,
,Barn owls,,,,,,,,,,
,Nest location,,,,,,,,,,
,Habitat preference,,,,,,,,,,
,Human disturbance,,,,,,,,,,
,Anthropogenic disturbance,,,,,,,,,,
,Illegal tree felling,,,,,,,,,,
,Brown Fish Owl,,,,,,,,,,
,Food availability,,,,,,,,,,
,Nest fidelity,,,,,,,,,,
,Nest site fidelity,,,,,,,,,,
,Cavity nesting,,,,,,,,,,
,Agricultural lands,,,,,,,,,,
,Pest control,,,,,,,,,,
,Crop pest,,,,,,,,,,
,Mottled Wood Owl,,,,,,,,,,
,Eagle Owl,,,,,,,,,,
TD-00557,"Chandarana, R. R.",2014,"Assessing the diet of the Forest Owlet (Athene blewitti) through pellet analysis in Khandwa district of Madhya Pradesh, India",Ecology and Environmental Sciences,Pondicherry,Pondicherry University,20,M.Sc.,TD-00557,Athene blewitti,
,Diet analysis,,,,,,,,,,
,Prey selection,,,,,,,,,,
,Pest control,,,,,,,,,,
,Pellet analysis,,,,,,,,,,
,Foraging behaviour,,,,,,,,,,
,Owlets,,,,,,,,,,
TD-00558,"Varughese, J.",2018,Vegetation factors influencing nest box depredation of White-rumped Shama (Copsychus malabaricus) in Chapramari wildlife sanctuary,Ecology and Environmental Sciences,Pondicherry,Pondicherry University,17,M.Sc.,TD-00558,Copsychus malabaricus,
,White-rumped Shama,,,,,,,,,,
,Songbird,,,,,,,,,,
,Depredation,,,,,,,,,,
,Nest predation,,,,,,,,,,
,Nest site selection,,,,,,,,,,
,Habitat classification,,,,,,,,,,
,Nesting success,,,,,,,,,,
,Sub-tropical forest,,,,,,,,,,
,Bird conservation,,,,,,,,,,
,Habitat degradation,,,,,,,,,,
,Habitat loss,,,,,,,,,,
,Nest boxes,,,,,,,,,,
,Vegetation sampling,,,,,,,,,,
,Survival analysis,,,,,,,,,,
,Hatching success,,,,,,,,,,
,Nesting success,,,,,,,,,,
,Fledging success,,,,,,,,,,
,Generalized linear model,,,,,,,,,,
,Nesting biology,,,,,,,,,,
TD-00559,"Rao, M.",2014,"Nest site selection of Heteroglaux blewitti, in Khandwa district of Madhya Pradesh, India",Ecology and Environmental Sciences,Pondicherry,Pondicherry University,14,M.Sc.,TD-00559,Nest site selection,
,Heteroglaux blewitti,,,,,,,,,,
,Nesting biology,,,,,,,,,,
,Nesting behaviour,,,,,,,,,,
,Dry teak forest,,,,,,,,,,
,Central Highlands,,,,,,,,,,
,Cavity nesting,,,,,,,,,,
,Nest location,,,,,,,,,,
,Nest-site selection,,,,,,,,,,
,Nest-site characteristics,,,,,,,,,,
,Cavity dimensions,,,,,,,,,,
,Nesting success,,,,,,,,,,
TD-00560,"Hariharan, P.",2018,Habitat correlates of mixed-species bird flocks,Ecology and Environmental Sciences,Pondicherry,Pondicherry University,21,M.Sc.,TD-00560,Flocking behaviour,
,Flock composition,,,,,,,,,,
,Microhabitat,,,,,,,,,,
,Species richness,,,,,,,,,,
,Habitat usage,,,,,,,,,,
,Foliage density,,,,,,,,,,
,Tree density,,,,,,,,,,
,Habitat characteristics,,,,,,,,,,
,Ecological niche,,,,,,,,,,
,Mixed species flocks,,,,,,,,,,
,Vegetation structure,,,,,,,,,,
TD-00561,Sindhu,2001,"Fruiting plants and bird visitation patterns in a dry season in a moist deciduous forest, Parambikulam Wildlife Sanctuary, India",Salim Ali School of Ecology and Environmental Sciences,Pondicherry,Pondicherry University,,M.Sc.,TD-00561,Moist deciduous forests,
,Western Ghats (South),,,,,,,,,,
,Ficus sp.,,,,,,,,,,
,Frugivores,,,,,,,,,,
,Keystone species,,,,,,,,,,
,Bird diversity,,,,,,,,,,
,Species diversity,,,,,,,,,,
,Seed dispersal,,,,,,,,,,
,Forest ecosystem,,,,,,,,,,
TD-00562,"Vijayan, R. V.",2000,"The composition and vertical stratification of mixed species bird flocks in Parambikulam, India: a comparison between two habitats",Salim Ali School of Ecology and Environmental Sciences,Pondicherry,Pondicherry University,35,M.Sc.,TD-00562,Mixed species flocks,
,Moist deciduous forest,,,,,,,,,,
,Teak plantation,,,,,,,,,,
,Species richness,,,,,,,,,,
,Foraging behaviour,,,,,,,,,,
,Focal species approach,,,,,,,,,,
,Foraging height,,,,,,,,,,
,Drongos,,,,,,,,,,
,Minivets,,,,,,,,,,
,Foraging substrate,,,,,,,,,,
,Bronzed Drongo,,,,,,,,,,
,Scarlet Minivet,,,,,,,,,,
,Racket-tailed Drongo,,,,,,,,,,
,Golden-backed Woodpecker,,,,,,,,,,
,Western Ghats (South),,,,,,,,,,
TD-00563,"Sivakuengueswary, P.",2014,"Analysis of avifaunal diversity in relationship with water quality variations in Bahour lake, Puducherry, India",Ecology and Environmental Sciences,Pondicherry,Pondicherry University,52,M.Sc.,TD-00563,Coastal birds,
,Bird diversity,,,,,,,,,,
,Species diversity,,,,,,,,,,
,Urbanization,,,,,,,,,,
,Human impacts,,,,,,,,,,
,Human disturbance,,,,,,,,,,
,Anthropogenic disturbance,,,,,,,,,,
,Weed infestation,,,,,,,,,,
,Wetland ecosystem,,,,,,,,,,
,Habitat quality,,,,,,,,,,
,Fishing,,,,,,,,,,
TD-00564,"Mitra, A.",2015,A study to ascertain the possibility of association between location of cell phone towers in Kolkata with numbers and densities of House Sparrow and their nests,Ecology and Environmental Sciences,Pondicherry,Pondicherry University,31,M.Sc.,TD-00564,House Sparrow,
,Passer domesticus,,,,,,,,,,
,Nest density,,,,,,,,,,
,Species density,,,,,,,,,,
,Synanthropic birds,,,,,,,,,,
TD-00565,"Singha, R.",2013,"Distribution of diurnal raptors in and around the western ghats, India",Ecology and Environmental Sciences,Pondicherry,Pondicherry University,25,M.Sc.,TD-00565,Raptors,
,Accipitridae,,,,,,,,,,
,Resident vs migrant birds,,,,,,,,,,
,White-rumped Vulture,,,,,,,,,,
,Species distribution,,,,,,,,,,
,Prey availability,,,,,,,,,,
,Habitat preference,,,,,,,,,,
,Pesticide contamination,,,,,,,,,,
,Species conservation,,,,,,,,,,
,Raptor conservation,,,,,,,,,,
TD-00566,Bindu,2001,"Availability of suitable nesting sites for cavity nesting birds in a moist deciduous forest and teak plantation - a comparison, Parambikulam wildlife sanctuary, India.",Ecology and Environmental Sciences,Pondicherry,Pondicherry University,,M.Sc.,TD-00566,Cavity nesting,
,Moist deciduous forest,,,,,,,,,,
,Western Ghats (South),,,,,,,,,,
,Nest-site characteristics,,,,,,,,,,
,Tree density,,,,,,,,,,
,Habitat usage,,,,,,,,,,
,Teak plantation,,,,,,,,,,
,Tectona grandis,,,,,,,,,,
,Nest site selection,,,,,,,,,,
,Fledging success,,,,,,,,,,
,Interspecific competition,,,,,,,,,,
,Species diversity,,,,,,,,,,
,Bird diversity,,,,,,,,,,
,Nest location,,,,,,,,,,
,Habitat preference,,,,,,,,,,
TD-00567,"Chandran, A. V.",2011,Territory size estimation of Kerala Laughingthrush (Strophocincla fairbanki meridionalis) in Ashambu hills,Ecology and Environmental Sciences,Pondicherry,Pondicherry University,31,M.Sc.,TD-00567,Western Ghats (South),
,Strophocincla fairbanki meridionalis,,,,,,,,,,
,Kerala Laughingthrush,,,,,,,,,,
,Endemic species,,,,,,,,,,
,Territory,,,,,,,,,,
,Species richness,,,,,,,,,,
,Territory size,,,,,,,,,,
,Bamboo forests,,,,,,,,,,
,Intraspecific competition,,,,,,,,,,
,Ochlandra travancorica,,,,,,,,,,
,Insectivores,,,,,,,,,,
TD-00568,"Ganguly, S.",2011,A quantitative study of selected vocalizations of the House Crow Corvus splendens,Ecology and Environmental Sciences,Pondicherry,Pondicherry University,33,M.Sc.,TD-00568,Corvus splendens,
,Vocalization,,,,,,,,,,
,Bird songs,,,,,,,,,,
,Sound analysis,,,,,,,,,,
,Calls,,,,,,,,,,
,Bioacoustics,,,,,,,,,,
,Bird calls,,,,,,,,,,
TD-00569,"Sidharth, R.",2010,Distribution and densities of raptors with regard to habitat quality in the Nilgiris,Ecology and Environmental Sciences,Pondicherry,Pondicherry University,43,M.Sc.,TD-00569,Raptors,
,Species density,,,,,,,,,,
,Habitat quality,,,,,,,,,,
,Nilgiris,,,,,,,,,,
,Western Ghats (Central),,,,,,,,,,
,Human impacts,,,,,,,,,,
,Habitat usage,,,,,,,,,,
,Birds of prey,,,,,,,,,,
,Habitat specialists,,,,,,,,,,
,Habitat generalists,,,,,,,,,,
,Habitat preference,,,,,,,,,,
,Food habits,,,,,,,,,,
,Resident vs migrant birds,,,,,,,,,,
,Prey availability,,,,,,,,,,
,Ictinaetus malayensis,,,,,,,,,,
,Buteo rufinus,,,,,,,,,,
,Spizaetus nipalensis,,,,,,,,,,
,Bird communities,,,,,,,,,,
,Indicator species,,,,,,,,,,
,Species distribution,,,,,,,,,,
,Shola forest,,,,,,,,,,
,Forest ecosystem,,,,,,,,,,
TD-00570,"Aparnadevi, P. A.",2011,Stauts and distribution of Black-chinned Laughingthrush (Trochalopteron cachinnans jerdoni) in Kerala,Ecology and Environmental Sciences,Pondicherry,Pondicherry University,33,M.Sc.,TD-00570,Trochalopteron cachinnans jerdoni,
,Black-chinned Laughingthrush,,,,,,,,,,
,Population status,,,,,,,,,,
,Species distribution,,,,,,,,,,
,Shola forest,,,,,,,,,,
,Western Ghats (Central),,,,,,,,,,
,Bird studies,,,,,,,,,,
,Chembra hills,,,,,,,,,,
,Banasura hills,,,,,,,,,,
,Vellarimala,,,,,,,,,,
,Ambalapara,,,,,,,,,,
TD-00571,"Shankar, A.",2011,"Vegetation factors associated with Great Hornbill (Buceros bicornis) and Malabar Pied Hornbill (Anthracoceros coronatus) nests in the Sangameshwar block, Ratnagiri, Maharashtra",Ecology and Environmental Sciences,Pondicherry,Pondicherry University,23,M.Sc.,TD-00571,Buceros bicornis,
,Anthracoceros coronatus,,,,,,,,,,
,Nest location,,,,,,,,,,
,Vegetation sampling,,,,,,,,,,
,Great Hornbill,,,,,,,,,,
,Malabar Pied Hornbill,,,,,,,,,,
,Habitat fragmentation,,,,,,,,,,
,Konkan coast,,,,,,,,,,
,Bird studies,,,,,,,,,,
,Habitat usage,,,,,,,,,,
,Hornbills,,,,,,,,,,
TD-00572,"Joshi, N. U.",1991,Foraging behaviour of the Ruff (Philomachus pugnax) in the wintering grounds,Salim Ali School of Ecology,Pondicherry,Pondicherry University,32,M.Sc.,TD-00572,Philomachus pugnax,
,Foraging behaviour,,,,,,,,,,
,Waders,,,,,,,,,,
,Migrants,,,,,,,,,,
,Foraging rate,,,,,,,,,,
,Feeding strategy,,,,,,,,,,
,Flocking behaviour,,,,,,,,,,
,Intraspecific competition,,,,,,,,,,
,Marshes,,,,,,,,,,
,Wetland birds,,,,,,,,,,
,Sandpipers,,,,,,,,,,
TD-00573,"Gopal, K.",1992,"Parameters influencing distribution of birds in the Labyrinth archipelago, Andaman Islands",Salim Ali School of Ecology and Environmental Sciences,Pondicherry,Pondicherry University,31,M.Sc.,TD-00573,Island fauna,
,Andamans,,,,,,,,,,
,Bird distribution,,,,,,,,,,
,Species -area relationships,,,,,,,,,,
,Species richness,,,,,,,,,,
,Species distribution,,,,,,,,,,
,Species limits,,,,,,,,,,
,Species richness estimators,,,,,,,,,,
,Species richness-environments,,,,,,,,,,
,Species-habitat interactions,,,,,,,,,,
,Labyrinth archipelago,,,,,,,,,,
,Ritchie's archipelago,,,,,,,,,,
TD-00574,"Ganesh, T.",1989,Feeding behaviour of Rosy Pastors (Sturnus roseus) on the nectar of Bombax ceiba,Salim Ali School of Ecology,Pondicherry,Pondicherry University,42,M.Sc.,TD-00574,Sturnus roseus,
,Bombax ceiba,,,,,,,,,,
,Rosy Pastor,,,,,,,,,,
,Rosy Starling,,,,,,,,,,
,Foraging behaviour,,,,,,,,,,
,Silk Cotton tree,,,,,,,,,,
,Nectarivores,,,,,,,,,,
,Flocking behaviour,,,,,,,,,,
,Intraspecific competition,,,,,,,,,,
,Bioacoustics,,,,,,,,,,
,Vocalization,,,,,,,,,,
,Bird call,,,,,,,,,,
,Attention trade-off,,,,,,,,,,
TD-00575,"Santhosh, J. A.",1991,Regulation of foraging flock-sizes in the Gull-billed Tern (Gelochelidon nilotica),Salim Ali School of Ecology,Pondicherry,Pondicherry University,,M.Sc.,TD-00575,Gelochelidon nilotica,
,Common Gull-billed Tern,,,,,,,,,,
,Flocking behaviour,,,,,,,,,,
,Foraging behaviour,,,,,,,,,,
,Foraging strategy,,,,,,,,,,
,Intraspecific competition,,,,,,,,,,
,Interspecific competition,,,,,,,,,,
,Flock size,,,,,,,,,,
,Terns,,,,,,,,,,
,Trade-off,,,,,,,,,,
,Attention trade-off,,,,,,,,,,
,Prey availability,,,,,,,,,,
,Wintering colonies,,,,,,,,,,
TD-00576,"Sneha, V.",2007,"Status survey of the Malabar Pied Hornbill (Anthracoceros coronatus) in the Dandeli region, North Karnataka",Ecology and Environmental Sciences,Pondicherry,Pondicherry University,32,M.Sc.,TD-00576,Anthracoceros coronatus,
,Malabar Pied Hornbill,,,,,,,,,,
,Hornbills,,,,,,,,,,
,Bird survey,,,,,,,,,,
,Population status,,,,,,,,,,
,Western Ghats,,,,,,,,,,
,Species abundance,,,,,,,,,,
,Species distribution,,,,,,,,,,
,Population size,,,,,,,,,,
,Foraging behaviour,,,,,,,,,,
,Roosting behaviour,,,,,,,,,,
,Roost site selection,,,,,,,,,,
,Human disturbance,,,,,,,,,,
,Anthropogenic disturbance,,,,,,,,,,
,Communal roosting,,,,,,,,,,
,Riverine areas,,,,,,,,,,
,Habitat conservation,,,,,,,,,,
,Bird conservation,,,,,,,,,,
TD-00577,"Simon, R. R.",2003,Avian diversity in human altered landscapes - a case study in organic farms around Bangalore,Salim Ali School of Ecology and Environmental Sciences,Pondicherry,Pondicherry University,19,M.Sc.,TD-00577,Species diversity,
,Bird diversity,,,,,,,,,,
,Human disturbance,,,,,,,,,,
,Urban ecology,,,,,,,,,,
,Agricultural land,,,,,,,,,,
,Species richness,,,,,,,,,,
,Scrubland,,,,,,,,,,
,Plantation,,,,,,,,,,
,Bird abundance,,,,,,,,,,
,Rose-ringed Parakeet,,,,,,,,,,
,Mynas,,,,,,,,,,
,Scrub forests,,,,,,,,,,
,Species -area relationships,,,,,,,,,,
,Vegetation characteristics,,,,,,,,,,
,Habitat characteristics,,,,,,,,,,
,Habitat diversity,,,,,,,,,,
,Habitat heterogeneity,,,,,,,,,,
,Food availability,,,,,,,,,,
,Guild analysis,,,,,,,,,,
,Frugivores,,,,,,,,,,
,Insectivores,,,,,,,,,,
,Habitat degradation,,,,,,,,,,
,Edge effect,,,,,,,,,,
TD-00578,"Ravichandra, M.",2005,"Ecology, behaviour and conservation of Harriers in the wintering ground at Hessarghatta, Bangalore in South India with special reference to Eurasian Marsh Harrier Circus aeruginosus",Ecology and Environmental Sciences,Pondicherry,Pondicherry University,22,M.Sc.,TD-00578,Circus aeruginosus,
,Eurasian Marsh Harrier,,,,,,,,,,
,Harriers,,,,,,,,,,
,Roosting behaviour,,,,,,,,,,
,Grassland habitat,,,,,,,,,,
,Diet analysis,,,,,,,,,,
,Pellet analysis,,,,,,,,,,
,Communal roosting,,,,,,,,,,
,Wintering colonies,,,,,,,,,,
,Habitat conservation,,,,,,,,,,
,Bird conservation,,,,,,,,,,
TD-00579,"Raghavaiah, P. S.",2007,"Wetland birds of Pulicat lake, India: seasonal patterns and habitat preferences",Ecology and Environmental Sciences,Pondicherry,Pondicherry University,106,Ph.D.,TD-00579,Wetlands,
,Wetland birds,,,,,,,,,,
,Pulicat lake,,,,,,,,,,
,Inland wetland,,,,,,,,,,
,Bird diversity,,,,,,,,,,
,Bird survey,,,,,,,,,,
,Population decline,,,,,,,,,,
,Bird abundance,,,,,,,,,,
,Migrants,,,,,,,,,,
,Resident vs migrant birds,,,,,,,,,,
,Habitat preference,,,,,,,,,,
,Generalists,,,,,,,,,,
,Specialists,,,,,,,,,,
,Habitat generalists,,,,,,,,,,
,Habitat specialists,,,,,,,,,,
,Habitat diversity,,,,,,,,,,
,Waterfowl,,,,,,,,,,
,Benthic fauna,,,,,,,,,,
,Benthic flora,,,,,,,,,,
,Food availability,,,,,,,,,,
,Coastal birds,,,,,,,,,,
,Wetland ecosystem,,,,,,,,,,
,Habitat management,,,,,,,,,,
,Human disturbance,,,,,,,,,,
,Anthropogenic disturbance,,,,,,,,,,
,Fishing,,,,,,,,,,
,Bird conservation,,,,,,,,,,
TD-00580,"Vachanth, M. C.",2013,"Studies on the ecology of waterbirds in the Kallaperambur lake, Thanjavur district, South India",Department of Zoology,Thanjavur,"Bharathidasan University, Tiruchirappalli",106,Ph.D.,TD-00580,Species density,
,Species richness,,,,,,,,,,
,Species diversity,,,,,,,,,,
,Divers,,,,,,,,,,
,Waders,,,,,,,,,,
,Aerial foragers,,,,,,,,,,
,Wetland ecosystem,,,,,,,,,,
,Waterbirds,,,,,,,,,,
,Prey availability,,,,,,,,,,
,Human impacts,,,,,,,,,,
,Human-wildlife conflicts,,,,,,,,,,
,Poaching,,,,,,,,,,
,Grazing,,,,,,,,,,
,Habitat conservation,,,,,,,,,,
,Conservation implications,,,,,,,,,,
,Habitat management,,,,,,,,,,
TD-00581,"Sirsat, C. V.",2008,Studies on avian diversity and bioecological aspects of some local birds,Department of Zoology,Aurangabad,"Dr. Babasaheb Ambedkar Marathwada University, Aurangabad",292,Ph.D.,TD-00581,Species diversity,
,Population status,,,,,,,,,,
,Species abundance,,,,,,,,,,
,Species conservation,,,,,,,,,,
,Bio-indicators,,,,,,,,,,
,Bird surveys,,,,,,,,,,
,Species-habitat interactions,,,,,,,,,,
,Prey availability,,,,,,,,,,
,Brahminy Myna,,,,,,,,,,
,Indian Shikra,,,,,,,,,,
,Sturnus pagodarum,,,,,,,,,,
,Accipiter badius,,,,,,,,,,
,Life history stages,,,,,,,,,,
,Nesting behaviour,,,,,,,,,,
,Clutch size,,,,,,,,,,
,Fledgling growth,,,,,,,,,,
,Nesting success,,,,,,,,,,
,Parental care,,,,,,,,,,
,Activity pattern,,,,,,,,,,
,Feeding behaviour,,,,,,,,,,
,Guild composition,,,,,,,,,,
,Roosting behaviour,,,,,,,,,,
,Communal roosting,,,,,,,,,,
,Pair bonding,,,,,,,,,,
,Species-habitat interactions,,,,,,,,,,
,Crop pest,,,,,,,,,,
TD-00582,"Wagh, P. L.",2014,"Study of species diversity and habitat utilization of birds at Nandur Madhmeshwar wetland, Maharashtra",Department of Environmental Science,Ahmednagar,"Savitribai Phule Pune University, Pune",182,Ph.D.,TD-00582,Wetland management,
,Wetland ecosystem,,,,,,,,,,
,Habitat management,,,,,,,,,,
,Species diversity,,,,,,,,,,
,Habitat utilization,,,,,,,,,,
,Food availability,,,,,,,,,,
,Bird surveys,,,,,,,,,,
,Vegetation characteristics,,,,,,,,,,
,Guild classification,,,,,,,,,,
,Habitat conservation,,,,,,,,,,
,Human impacts,,,,,,,,,,
,Wetland ecosystem,,,,,,,,,,
,Habitat degradation,,,,,,,,,,
,Habitat modification,,,,,,,,,,
,Life history strategies,,,,,,,,,,
TD-00583,"Das, R. K.",2011,"Diversity, distribution and density of tropical grassland birds in Dibru-Saikhowa biosphere reserve, Assam",Department of Geography,Tinsukia,"Gauhati University, Gauhati",179,Ph.D.,TD-00583,Species diversity,
